@relation 'datasets_45152_82501_insurance_claims-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R3-4,18,24-25-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10'

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
238,9,592,161,0.786189,0.963563,0.286747,0.963563,0.713253,0.441968,0.83,1.160919,0.068384
238,9,591,162,0.784861,0.963563,0.287093,0.963563,0.712907,0.442379,0.829,1.162319,0.068404
238,9,590,163,0.783533,0.963563,0.28744,0.963563,0.71256,0.442791,0.828,1.163723,0.068503
238,9,589,164,0.782205,0.963563,0.287787,0.963563,0.712213,0.443203,0.827,1.16513,0.069612
238,9,588,165,0.780876,0.963563,0.288136,0.963563,0.711864,0.443616,0.826,1.166541,0.070084
238,9,587,166,0.779548,0.963563,0.288485,0.963563,0.711515,0.44403,0.825,1.167955,0.070319
238,9,586,167,0.77822,0.963563,0.288835,0.963563,0.711165,0.444444,0.824,1.169372,0.070495
238,9,585,168,0.776892,0.963563,0.289186,0.963563,0.710814,0.44486,0.823,1.170793,0.070605
238,9,584,169,0.775564,0.963563,0.289538,0.963563,0.710462,0.445276,0.822,1.172217,0.070789
238,9,583,170,0.774236,0.963563,0.28989,0.963563,0.71011,0.445693,0.821,1.173645,0.071337
238,9,582,171,0.772908,0.963563,0.290244,0.963563,0.709756,0.446111,0.82,1.175077,0.07186
238,9,581,172,0.77158,0.963563,0.290598,0.963563,0.709402,0.446529,0.819,1.176511,0.071874
238,9,580,173,0.770252,0.963563,0.290954,0.963563,0.709046,0.446948,0.818,1.17795,0.072007
238,9,579,174,0.768924,0.963563,0.29131,0.963563,0.70869,0.447368,0.817,1.179391,0.072426
